"ref.date","friendly.name","price.adjusted","daily.return"
2010-06-01,"SMI",6316.600098,0.000633452644930185
2010-06-02,"SMI",6368.810059,0.00823154397980226
2010-06-03,"SMI",6418.819824,0.00782162455664298
2010-06-04,"SMI",6298.970215,-0.0188481106657674
2010-06-07,"SMI",6291.040039,-0.00125975704368278
2010-06-08,"SMI",6246.220215,-0.00714988985275993
2010-06-09,"SMI",6319.180176,0.0116129655533567
2010-06-10,"SMI",6376.660156,0.00905499301222778
2010-06-11,"SMI",6426.740234,0.00782297387852461
2010-06-14,"SMI",6472.120117,0.00703629142304513
2010-06-15,"SMI",6484.72998,0.00194644020526161
2010-06-16,"SMI",6490.069824,0.000823110087577161
2010-06-17,"SMI",6475.25,-0.00228607248496213
2010-06-18,"SMI",6447.060059,-0.00436299478797072
2010-06-21,"SMI",6519.569824,0.0111841737569203
2010-06-22,"SMI",6463.459961,-0.00864362375652608
2010-06-23,"SMI",6381.850098,-0.0127067327592864
2010-06-24,"SMI",6320.620117,-0.00964071620818397
2010-06-25,"SMI",6275.350098,-0.00718804715235304
2010-06-28,"SMI",6311.149902,0.00568861884419549
2010-06-29,"SMI",6144.450195,-0.0267686277289096
2010-06-30,"SMI",6128.060059,-0.00267103394583346
2010-07-01,"SMI",5981.660156,-0.0241800856469379
2010-07-02,"SMI",5974.299805,-0.00123124399108788
2010-07-05,"SMI",5942.25,-0.00537905397156616
2010-07-06,"SMI",6063.120117,0.0201366888414907
2010-07-07,"SMI",6099.200195,0.00593310863628224
2010-07-08,"SMI",6155.720215,0.00922411877939623
2010-07-09,"SMI",6210.490234,0.00885806971419344
2010-07-12,"SMI",6228.310059,0.00286520191193034
2010-07-13,"SMI",6298.589844,0.0112207366425235
2010-07-14,"SMI",6332.279785,0.00533455286669638
2010-07-15,"SMI",6291.069824,-0.0065291873671769
2010-07-16,"SMI",6184.370117,-0.017105979318668
2010-07-19,"SMI",6156.640137,-0.00449396380006795
2010-07-20,"SMI",6123.419922,-0.00541044520597946
2010-07-21,"SMI",6132.660156,0.00150786151721354
2010-07-22,"SMI",6194.180176,0.00998155717439102
2010-07-23,"SMI",6201.25,0.00114071470957265
2010-07-26,"SMI",6199.459961,-0.000288699440284133
2010-07-27,"SMI",6275.189941,0.0121415688489703
2010-07-28,"SMI",6277.490234,0.0003665022917306
2010-07-29,"SMI",6220.649902,-0.00909586918862655
2010-07-30,"SMI",6200.779785,-0.00319933122827884
2010-08-02,"SMI",6321.640137,0.0193036339219514
2010-08-03,"SMI",6337.720215,0.00254042640401616
2010-08-04,"SMI",6380.299805,0.00669597138934825
2010-08-05,"SMI",6374.890137,-0.000848230147720304
2010-08-06,"SMI",6321.359863,-0.00843250427461596
2010-08-09,"SMI",6391.740234,0.0110722151920194
2010-08-10,"SMI",6395.02002,0.00051299719503254
2010-08-11,"SMI",6265.839844,-0.0204069329209237
2010-08-12,"SMI",6279.350098,0.00215385486954014
2010-08-13,"SMI",6294.339844,0.00238430455505454
2010-08-16,"SMI",6285.660156,-0.00137991881992119
2010-08-17,"SMI",6359.740234,0.0117166595267981
2010-08-18,"SMI",6362.879883,0.000493553848949387
2010-08-19,"SMI",6281.350098,-0.0128961455237889
2010-08-20,"SMI",6185.819824,-0.0153253937081612
2010-08-23,"SMI",6209.450195,0.00381280917495273
2010-08-24,"SMI",6144.140137,-0.0105735522573984
2010-08-25,"SMI",6098.589844,-0.00744123300187755
2010-08-26,"SMI",6131.759766,0.00542421179851852
2010-08-27,"SMI",6183.140137,0.00834447206877523
2010-08-30,"SMI",6205.240234,0.00356787889655143
2010-08-31,"SMI",6180.890137,-0.00393183789292643
2010-09-01,"SMI",6332.430176,0.0242217803291629
2010-09-02,"SMI",6333.649902,0.000192597235491829
2010-09-03,"SMI",6400.709961,0.0105322418439808
2010-09-06,"SMI",6418.25,0.00273657925441889
2010-09-07,"SMI",6360.200195,-0.00908564081596947
2010-09-08,"SMI",6386.950195,0.00419702262048178
2010-09-09,"SMI",6425.259766,0.00598018379145552
2010-09-10,"SMI",6467.689941,0.00658194271195355
2010-09-13,"SMI",6471.77002,0.000630641332408262
2010-09-14,"SMI",6466.319824,-0.000842504015368561
2010-09-15,"SMI",6434.009766,-0.00500919380934423
2010-09-16,"SMI",6424.160156,-0.00153203947160262
2010-09-17,"SMI",6389.02002,-0.00548501209185715
2010-09-20,"SMI",6461.97998,0.0113548741594495
2010-09-21,"SMI",6420.399902,-0.00645536349238875
2010-09-22,"SMI",6344.879883,-0.0118322357751883
2010-09-23,"SMI",6303.200195,-0.00659069813188282
2010-09-24,"SMI",6360.77002,0.00909197046440419
2010-09-27,"SMI",6338.890137,-0.00344574648110778
2010-09-28,"SMI",6334.379883,-0.000711774338162068
2010-09-29,"SMI",6311.569824,-0.00360749240128318
2010-09-30,"SMI",6296.330078,-0.00241749276890793
2010-10-01,"SMI",6284.169922,-0.0019331759130474
2010-10-04,"SMI",6248.799805,-0.00564434633994531
2010-10-05,"SMI",6313.899902,0.0103641225603957
2010-10-06,"SMI",6351.009766,0.00586028186189799
2010-10-07,"SMI",6375.580078,0.0038612610021106
2010-10-08,"SMI",6363.160156,-0.00194994571004664
2010-10-11,"SMI",6386.180176,0.0036111742908636
2010-10-12,"SMI",6375.259766,-0.00171147029100804
2010-10-13,"SMI",6455.129883,0.0124503075753201
2010-10-14,"SMI",6440.970215,-0.002195962125374
2010-10-15,"SMI",6443.009766,0.000316602636769711
2010-10-18,"SMI",6470.259766,0.00422047110244219
2010-10-19,"SMI",6471.959961,0.000262736230050712
2010-10-20,"SMI",6477.200195,0.000809355081399076
2010-10-21,"SMI",6512.189941,0.00538744779606679
2010-10-22,"SMI",6477.129883,-0.00539830316250841
2010-10-25,"SMI",6513.629883,0.00561939358527203
2010-10-26,"SMI",6476.609863,-0.00569968236835333
2010-10-27,"SMI",6479.209961,0.000401379159362934
2010-10-28,"SMI",6484.709961,0.000848508840393527
2010-10-29,"SMI",6472.22998,-0.00192637843753119
2010-11-01,"SMI",6504.720215,0.00500738654304457
2010-11-02,"SMI",6541.5,0.00563839669026764
2010-11-03,"SMI",6512.990234,-0.00436781686826674
2010-11-04,"SMI",6595.640137,0.0126101653462165
2010-11-05,"SMI",6587.720215,-0.00120150291599532
2010-11-08,"SMI",6600.359863,0.00191682971218405
2010-11-09,"SMI",6581.879883,-0.00280377120462214
2010-11-10,"SMI",6539.819824,-0.00641078579580159
2010-11-11,"SMI",6516.990234,-0.00349696643566207
2010-11-12,"SMI",6505.290039,-0.00179695074949613
2010-11-15,"SMI",6526.22998,0.00321374006900107
2010-11-16,"SMI",6476.529785,-0.00764459821414298
2010-11-17,"SMI",6494.990234,0.00284630659105644
2010-11-18,"SMI",6613.370117,0.0180622287162554
2010-11-19,"SMI",6590.839844,-0.00341259264004045
2010-11-22,"SMI",6532.640137,-0.00886961211986955
